Ticker,Final Value,Return,Sharpe Ratio,Max Drawdown
DVA,115386.93120121003,0.1538693120121002,0.2669123969858347,-0.4573080271142721
EA,182086.18012168887,0.8208618012168887,0.7868749287191606,-0.18096483701437682
EBAY,105181.51146530152,0.05181511465301525,0.16351414834525865,-0.4340437867218472
ECL,117940.55544357299,0.1794055544357298,0.4364722324003492,-0.11858302345428473
ED,158439.54884571076,0.5843954884571076,1.028186232325809,-0.13782446417010186
EFX,150253.32231445314,0.5025332231445314,1.0975277799207575,-0.09214614847129599
EIX,130807.7613658905,0.30807761365890496,1.1177997801406379,-0.05699361221627264
EL,137317.55765869142,0.37317557658691425,0.6018597247022934,-0.22055212273679592
EMN,126354.32251472473,0.2635432251472474,0.376469969286807,-0.42151198455735894
EMR,180851.2661587906,0.8085126615879059,0.790039623118354,-0.2881244166549206
